session_date_utc,pair,session_utc,expected_bars,compared_bars,open_close_failure_rows,high_low_only_failure_rows,raw_signal_disagreements,delayed_signal_disagreements,volatility_eligibility_disagreements,median_close_bps_diff,p95_close_bps_diff,max_close_bps_diff,max_any_ohlc_bps_diff,pair_pass
2026-08-03,AUDUSD,11:00-14:00,36,36,1,8,0,0,0,0.8569837477838409,2.288771447623191,2.4341003135694432,6.152525397053105,True
2026-08-03,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.5636670621363405,1.3363992421781221,2.515854219260178,2.515854219260178,True
2026-08-03,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.40854252288323245,1.3772466669134036,2.526190653094635,3.043642869338798,True
2026-08-03,USDJPY,11:00-13:00,24,24,1,1,0,0,0,1.3573233382263328,4.036723985564605,5.961688071520763,8.354622793347263,True
2026-08-04,AUDUSD,11:00-14:00,36,36,0,10,0,0,0,0.8528239132248745,2.2039535568505366,2.700397953382937,5.546075085324252,True
2026-08-04,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.7382147467620792,2.9508554681371955,3.212865354891209,3.212865354891209,True
2026-08-04,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.6692570057387812,2.3016753303120137,2.528727083410858,2.974862412613089,True
2026-08-04,USDJPY,11:00-13:00,24,24,1,1,0,0,0,0.7733023170065785,3.2263064237932277,4.259953012888373,7.241771580732785,True
2026-08-05,AUDUSD,11:00-14:00,36,36,2,4,0,0,0,0.8511664530791396,3.0161171746697786,6.524359974468547,6.524452513332803,True
2026-08-05,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.5627653461131549,1.951931563823262,2.7711385915696596,2.7711385915696596,True
2026-08-05,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.8903332707205418,2.2773341949612185,3.4879147464580633,3.4879147464580633,True
2026-08-05,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.6502714482148788,2.3428599349003623,2.597905672718286,3.862219570101741,True
2026-08-06,AUDUSD,11:00-14:00,36,36,0,14,0,0,0,1.065346018881531,2.4519029031529396,3.5521454958791203,6.3974978675000065,True
2026-08-06,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.8230182585208423,1.4603739360307426,1.7333125335827393,2.340499306518659,True
2026-08-06,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.7055218941789831,1.3147824345668215,1.559332605645107,2.229323028908293,True
2026-08-06,USDJPY,11:00-13:00,24,24,0,0,0,0,0,0.5146340851929252,1.360484335715912,2.401257016866302,2.401257016866302,True
2026-08-07,AUDUSD,11:00-14:00,36,36,2,12,0,0,0,0.8526966593655858,4.370093138521289,5.233084408236895,16.72809753331385,True
2026-08-07,EURUSD,11:00-13:00,24,24,3,0,0,0,0,0.693748920233972,3.5744092185184915,10.197291668466681,10.456544846478334,True
2026-08-07,GBPUSD,11:00-13:00,24,24,2,0,0,0,0,0.6678070846459085,2.2609638627117916,10.004001600641622,11.558980438648533,True
2026-08-07,USDJPY,11:00-13:00,24,24,5,0,0,0,0,0.8358718832798528,6.758878434176441,49.165980953110086,59.87066986378381,True
2026-08-10,AUDUSD,11:00-14:00,36,36,0,4,0,0,0,0.9910101464946043,2.1257373652283498,3.1135894024738597,5.38701445988001,True
2026-08-10,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.6060501264053759,1.3726898696564336,2.8578109168371952,2.8578109168371952,True
2026-08-10,GBPUSD,11:00-13:00,24,24,0,0,0,0,0,0.88914906587533,2.3674049227046154,2.4458938630295095,2.4458938630295095,True
2026-08-10,USDJPY,11:00-13:00,24,24,1,0,11,10,11,1.1414032521645252,2.7413086759055876,6.111643386618433,8.121792160404398,False
2026-08-11,AUDUSD,11:00-14:00,36,36,0,6,0,0,0,0.9203490802946079,2.406202342645402,2.5473019826510197,5.384724387134008,True
2026-08-11,EURUSD,11:00-13:00,24,24,0,0,0,0,0,0.7367254340556126,1.940881560821728,1.9934130698557158,2.2544004161963667,True
