session_date_utc,processed_at_utc,provider_candidate,reference_provider,total_expected_bars,total_compared_bars,open_close_failure_rows,high_low_only_failure_rows,raw_signal_disagreements,delayed_signal_disagreements,volatility_eligibility_disagreements,max_close_bps_diff,max_any_ohlc_bps_diff,session_pass,canonical_m005_modified
2026-08-03,2026-08-07T00:20:36.856848+00:00,twelve_data,polygon,108,108,2,9,0,0,0,5.961688071520763,8.354622793347263,True,False
2026-08-04,2026-08-07T00:20:36.962075+00:00,twelve_data,polygon,108,108,1,11,0,0,0,4.259953012888373,7.241771580732785,True,False
2026-08-05,2026-08-07T00:20:37.068560+00:00,twelve_data,polygon,108,108,2,4,0,0,0,6.524359974468547,6.524452513332803,True,False
2026-08-06,2026-08-07T00:20:37.172838+00:00,twelve_data,polygon,108,108,0,14,0,0,0,3.5521454958791203,6.3974978675000065,True,False
2026-08-07,2026-08-08T05:56:33.030432+00:00,twelve_data,polygon,108,108,12,12,0,0,0,49.165980953110086,59.87066986378381,True,False
2026-08-10,2026-08-16T00:30:17.820856+00:00,twelve_data,polygon,108,108,1,4,11,10,11,6.111643386618433,8.121792160404398,False,False
2026-08-11,2026-08-16T00:30:17.930704+00:00,twelve_data,polygon,108,108,0,6,0,0,0,2.6678721496373616,5.384724387134008,True,False
2026-08-12,2026-08-16T00:30:18.041096+00:00,twelve_data,polygon,108,108,7,8,6,6,6,6.215567170504251,13.346737849268214,False,False
2026-08-13,2026-08-16T00:30:18.150054+00:00,twelve_data,polygon,108,108,0,7,0,0,0,3.972758229285726,6.2331775038956785,True,False
2026-08-14,2026-08-16T00:30:18.259057+00:00,twelve_data,polygon,108,108,1,7,5,4,5,5.645730416371996,6.2743123308369375,False,False
2026-08-17,2026-08-18T00:30:27.354460+00:00,twelve_data,polygon,108,108,0,8,0,0,0,4.4924891197527295,5.768148564997489,True,False
2026-08-18,2026-08-19T00:30:15.690006+00:00,twelve_data,polygon,108,108,1,9,0,0,0,5.344585091421195,5.483689538806108,True,False
2026-08-19,2026-08-20T00:30:16.266245+00:00,twelve_data,polygon,108,108,14,4,6,5,6,8.62839247118765,15.415054630691733,False,False
2026-08-20,2026-08-22T00:30:12.198951+00:00,twelve_data,polygon,108,108,1,6,0,0,0,4.567321332870987,6.3237774030347165,True,False
2026-08-21,2026-08-22T00:30:12.315089+00:00,twelve_data,polygon,108,108,1,4,0,0,0,5.269937931840905,5.865921787709162,True,False
2026-08-24,2026-08-25T00:30:12.162318+00:00,twelve_data,polygon,108,108,0,12,0,0,0,4.8001508618833215,6.287550649712875,True,False
2026-08-25,2026-08-26T00:30:16.008784+00:00,twelve_data,polygon,108,108,0,5,0,0,0,4.889633975970403,6.015668718523243,True,False
2026-08-26,2026-08-27T00:30:16.629878+00:00,twelve_data,polygon,108,108,2,4,0,0,0,5.569479253690713,6.412937404153142,True,False
2026-08-27,2026-08-28T00:30:11.746351+00:00,twelve_data,polygon,108,108,0,6,0,0,0,2.783460676658984,5.704744677890934,True,False
2026-08-28,2026-08-29T00:30:10.525993+00:00,twelve_data,polygon,108,108,2,4,0,0,0,10.428543619120628,10.428543619120628,True,False
2026-08-31,2026-09-01T00:30:20.185820+00:00,twelve_data,polygon,108,108,0,10,0,0,0,4.753250384454172,6.1512652034111,True,False
2026-09-01,2026-09-02T00:30:15.874792+00:00,twelve_data,polygon,108,108,1,6,0,0,0,5.878236529040951,7.550424711388406,True,False
2026-09-02,2026-09-03T00:30:17.875755+00:00,twelve_data,polygon,108,108,1,4,0,0,0,4.1958041958052865,6.576185812228494,True,False
2026-09-03,2026-09-04T00:30:14.654194+00:00,twelve_data,polygon,108,108,11,7,14,13,14,8.326020816652829,10.174973420948609,False,False
2026-09-04,2026-09-05T00:30:18.164132+00:00,twelve_data,polygon,108,108,9,10,2,1,2,25.990194316810918,35.91142140285819,False,False
2026-09-07,2026-09-08T00:30:19.807961+00:00,twelve_data,polygon,108,108,1,3,0,0,0,4.93277321819998,7.155419910510319,True,False
2026-09-08,2026-09-09T00:30:17.119233+00:00,twelve_data,polygon,108,108,1,5,0,0,0,4.623303211418615,6.518138417069386,True,False
2026-09-09,2026-09-10T00:30:18.681221+00:00,twelve_data,polygon,108,108,2,4,0,0,0,4.4303534591367315,5.534034311012118,True,False
2026-09-10,2026-09-11T00:30:17.910188+00:00,twelve_data,polygon,108,108,8,7,6,5,6,5.664994335653592,8.105264973183134,False,False
2026-09-11,2026-09-12T00:30:14.338840+00:00,twelve_data,polygon,108,108,6,7,12,12,12,6.055270014749464,7.64142959442726,False,False
2026-09-14,2026-09-15T00:30:20.830176+00:00,twelve_data,polygon,108,108,0,8,0,0,0,4.06846240179591,5.903851560303289,True,False
2026-09-15,2026-09-16T00:30:19.312118+00:00,twelve_data,polygon,108,108,0,6,0,0,0,4.596966763472999,5.895564289724535,True,False
2026-09-16,2026-09-17T00:30:26.865008+00:00,twelve_data,polygon,108,108,0,10,0,0,0,4.21052631578901,5.616399887671383,True,False
2026-09-17,2026-09-18T00:30:19.805852+00:00,twelve_data,polygon,108,108,4,10,1,1,0,6.136300708666558,8.13159759782189,False,False
2026-09-18,2026-09-19T00:30:54.999724+00:00,twelve_data,polygon,108,108,2,9,0,0,0,6.29997592285253,7.154624021086409,True,False
2026-09-21,2026-09-22T00:14:56.319703+00:00,twelve_data,polygon,108,108,1,10,0,0,0,5.199636273456604,5.606952621249732,True,False
