day,accepted,reviewed_disposition,raw_verdict,expected_cycles,observed_cycles,pass_cycles,skip_cycles,fail_cycles,unknown_cycles,coverage_pct,contained_upstream_failures,authoritative_events,provider_events,reconciliation_events,missing_twelve_bars,direction_disagreements,volatility_eligibility_disagreements,divergence_over_10bps,max_abs_close_divergence_bps,m006e2_hash_match,safety_violations,session_file,disposition_file
2026-09-07,True,CLEAN,CLEAN,43,36,36,0,0,0,83.7,0,0,0,0,0,0,0,0,,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-07.json,data/research_runs/M006E_FORWARD_OBSERVATION/session_dispositions.json
2026-09-08,True,ACCEPTED_WITH_CONTAINED_UPSTREAM_FAILURES,ALERT,43,40,38,0,2,0,93.0,2,0,0,0,0,0,0,0,,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-08.json,data/research_runs/M006E_FORWARD_OBSERVATION/session_dispositions.json
2026-09-09,True,ACCEPTED_WITH_CONTAINED_UPSTREAM_FAILURES,ALERT,43,39,36,0,3,0,90.7,3,0,0,0,0,0,0,0,,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-09.json,data/research_runs/M006E_FORWARD_OBSERVATION/session_dispositions.json
2026-09-10,True,CLEAN,CLEAN,43,39,39,0,0,0,90.7,0,8,8,8,0,0,3,0,5.146844636627623,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-10.json,data/research_runs/M006E_FORWARD_OBSERVATION/session_dispositions.json
2026-09-11,True,ACCEPTED_WITH_CONTAINED_UPSTREAM_FAILURES,ALERT,43,39,37,0,2,0,90.7,2,4,4,4,0,0,3,0,3.0706383644096835,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-11.json,data/research_runs/M006E_FORWARD_OBSERVATION/dispositions/session_disposition_2026-09-11.json
2026-09-14,True,ACCEPTED_WITH_COVERAGE_WARNING,WARN,43,32,32,0,0,0,74.4,0,0,0,0,0,0,0,0,,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-14.json,data/research_runs/M006E_FORWARD_OBSERVATION/dispositions/session_disposition_2026-09-14.json
2026-09-15,True,CLEAN,CLEAN,43,38,38,0,0,0,88.4,0,0,0,0,0,0,0,0,,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-15.json,data/research_runs/M006E_FORWARD_OBSERVATION/dispositions/session_disposition_2026-09-15.json
2026-09-16,True,CLEAN,ALERT,43,39,38,0,1,0,90.7,1,0,0,0,0,0,0,0,,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-16.json,data/research_runs/M006E_FORWARD_OBSERVATION/dispositions/session_disposition_2026-09-16.json
2026-09-17,True,ACCEPTED_WITH_CONTAINED_FAILURES,ALERT,43,37,35,0,2,0,86.0,1,5,5,5,0,0,0,0,5.761920440598978,True,0,data/research_runs/M006E_FORWARD_OBSERVATION/sessions/m006e9a_2026-09-17.json,data/research_runs/M006E_FORWARD_OBSERVATION/dispositions/session_disposition_2026-09-17.json
